Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,05/24/2015 11:00:00 PM,,19.0,65,0,0,11.1,0,0,0.7,1.9,,0,322,12.1,05/24/2015 11:00 PM,OakStreetWeatherStation201505242300
Oak Street Weather Station,05/25/2015 12:00:00 AM,,19.0,64,0,0,11.1,0,65,1.4,2,,0,322,12.1,05/25/2015 12:00 AM,OakStreetWeatherStation201505252400
Oak Street Weather Station,05/25/2015 01:00:00 AM,,19.1,63,0,0,11.1,0,56,1.2,2,,0,322,12,05/25/2015 1:00 AM,OakStreetWeatherStation201505250100
Oak Street Weather Station,05/25/2015 02:00:00 AM,,19.3,64,0,0,11.1,0,8,1.5,3.5,,0,322,12,05/25/2015 2:00 AM,OakStreetWeatherStation201505250200
Oak Street Weather Station,05/25/2015 03:00:00 AM,,19.0,66,0,0,11.1,0,64,0.9,1.7,,0,322,12.1,05/25/2015 3:00 AM,OakStreetWeatherStation201505250300
Oak Street Weather Station,05/25/2015 04:00:00 AM,,19.0,70,0,0,11.1,0,1,1.3,2.9,,0,322,12.2,05/25/2015 4:00 AM,OakStreetWeatherStation201505250400
Oak Street Weather Station,05/25/2015 05:00:00 AM,,19.1,71,0,0,11.1,0,303,1.7,2.7,,0,322,12.1,05/25/2015 5:00 AM,OakStreetWeatherStation201505250500
Oak Street Weather Station,05/25/2015 06:00:00 AM,,18.6,72,0,0,11.1,0,12,0.7,2,,9,322,12.1,05/25/2015 6:00 AM,OakStreetWeatherStation201505250600
Oak Street Weather Station,05/25/2015 07:00:00 AM,,19.4,78,0,0,11.1,0,305,1.5,1.9,,26,322,12,05/25/2015 7:00 AM,OakStreetWeatherStation201505250700
Oak Street Weather Station,05/25/2015 08:00:00 AM,,19.5,74,0,0,11.1,0,317,1.6,5.5,,142,322,12.1,05/25/2015 8:00 AM,OakStreetWeatherStation201505250800
Oak Street Weather Station,05/25/2015 09:00:00 AM,,19.6,69,0,0,11.1,0,296,2.1,5.7,,251,322,12.1,05/25/2015 9:00 AM,OakStreetWeatherStation201505250900
Oak Street Weather Station,05/25/2015 10:00:00 AM,,19.7,72,0,0,11.1,0,9,1.2,3.1,,126,322,12.1,05/25/2015 10:00 AM,OakStreetWeatherStation201505251000
Oak Street Weather Station,05/25/2015 11:00:00 AM,,18.3,85,0,0.2,11.2,60,342,2.1,5.4,,336,322,12.1,05/25/2015 11:00 AM,OakStreetWeatherStation201505251100
Oak Street Weather Station,05/25/2015 12:00:00 PM,,19.0,74,0,0,11.2,0,81,2,3.4,,138,322,12.1,05/25/2015 12:00 PM,OakStreetWeatherStation201505251200
Oak Street Weather Station,05/25/2015 01:00:00 PM,,19.9,78,0,0.8,12.1,0,289,2.7,4.4,,990,322,12.1,05/25/2015 1:00 PM,OakStreetWeatherStation201505251300
Oak Street Weather Station,05/25/2015 02:00:00 PM,,19.3,65,0,0,12.1,0,301,3.4,9.4,,506,322,12,05/25/2015 2:00 PM,OakStreetWeatherStation201505251400
Oak Street Weather Station,05/25/2015 03:00:00 PM,,19.2,58,0,0,12.1,0,96,1.3,3.3,,673,322,12.1,05/25/2015 3:00 PM,OakStreetWeatherStation201505251500
Oak Street Weather Station,05/25/2015 04:00:00 PM,,19.1,54,0,0,12.1,0,280,2.1,8.5,,229,322,12.1,05/25/2015 4:00 PM,OakStreetWeatherStation201505251600
Oak Street Weather Station,05/25/2015 05:00:00 PM,,19.2,55,0,0,12.1,0,81,1.1,1.9,,163,322,12.1,05/25/2015 5:00 PM,OakStreetWeatherStation201505251700
Oak Street Weather Station,05/25/2015 06:00:00 PM,,19.0,50,0,0,12.1,0,342,1.6,4.1,,55,322,12.1,05/25/2015 6:00 PM,OakStreetWeatherStation201505251800
Oak Street Weather Station,05/25/2015 07:00:00 PM,,18.8,49,0,0,12.1,0,247,0.9,4.6,,39,322,12.2,05/25/2015 7:00 PM,OakStreetWeatherStation201505251900
Oak Street Weather Station,05/25/2015 09:00:00 PM,,18.6,52,0,0,12.1,0,66,0.9,1.5,,0,322,12.1,05/25/2015 9:00 PM,OakStreetWeatherStation201505252100
Oak Street Weather Station,05/25/2015 10:00:00 PM,,18.4,52,0,0,12.1,0,353,1.5,4.6,,0,322,12.1,05/25/2015 10:00 PM,OakStreetWeatherStation201505252200
Oak Street Weather Station,05/25/2015 11:00:00 PM,,18.8,58,0,0,12.1,0,293,1.6,3.3,,0,322,12.1,05/25/2015 11:00 PM,OakStreetWeatherStation201505252300
Oak Street Weather Station,05/26/2015 12:00:00 AM,,19.2,66,0,0,12.1,0,288,1.4,4.1,,0,322,12.1,05/26/2015 12:00 AM,OakStreetWeatherStation201505262400
Oak Street Weather Station,05/26/2015 01:00:00 AM,,19.6,71,0,0,12.1,0,295,2.6,5.1,,0,322,12.2,05/26/2015 1:00 AM,OakStreetWeatherStation201505260100
Oak Street Weather Station,05/26/2015 02:00:00 AM,,19.7,76,0,0,12.1,0,299,2.2,3.4,,0,322,12.1,05/26/2015 2:00 AM,OakStreetWeatherStation201505260200
Oak Street Weather Station,05/26/2015 03:00:00 AM,,19.4,80,0,0,12.1,0,298,1.9,5.2,,0,322,12,05/26/2015 3:00 AM,OakStreetWeatherStation201505260300
Oak Street Weather Station,05/26/2015 04:00:00 AM,,19.1,82,0,0,12.1,0,348,1.7,3.1,,0,322,12.1,05/26/2015 4:00 AM,OakStreetWeatherStation201505260400
Oak Street Weather Station,05/26/2015 05:00:00 AM,,19.1,84,0,0,12.1,0,166,0.8,1.5,,0,322,12.1,05/26/2015 5:00 AM,OakStreetWeatherStation201505260500
Oak Street Weather Station,05/26/2015 06:00:00 AM,,19.0,83,0,0,12.1,0,45,1,3.4,,17,322,12.1,05/26/2015 6:00 AM,OakStreetWeatherStation201505260600
Oak Street Weather Station,05/26/2015 10:00:00 AM,,16.8,85,0,0,0,0,120,2.1,4,,154,0,12.1,05/26/2015 10:00 AM,OakStreetWeatherStation201505261000
Oak Street Weather Station,05/26/2015 11:00:00 AM,,17.4,84,0,0,0,0,110,1.9,4,988.9,106,0,12.2,05/26/2015 11:00 AM,OakStreetWeatherStation201505261100
Oak Street Weather Station,05/26/2015 12:00:00 PM,,19.2,79,0,0,0,0,110,2.5,5.4,987.7,234,0,12.1,05/26/2015 12:00 PM,OakStreetWeatherStation201505261200
Oak Street Weather Station,05/26/2015 02:00:00 PM,20.8,19.1,86,0,4.1,4.5,60,261,2.6,6.9,986.9,360,0,12,05/26/2015 2:00 PM,OakStreetWeatherStation201505261400
Oak Street Weather Station,05/26/2015 03:00:00 PM,21.7,18.9,76,0,0,4.5,0,1,0.7,2.3,986.7,481,0,12.1,05/26/2015 3:00 PM,OakStreetWeatherStation201505261500
Oak Street Weather Station,05/26/2015 04:00:00 PM,24,19.5,66,0,0,4.5,0,272,1.6,4.2,986,658,0,12.1,05/26/2015 4:00 PM,OakStreetWeatherStation201505261600
Oak Street Weather Station,05/26/2015 05:00:00 PM,24.2,20.3,70,0,0.3,4.8,60,331,0.6,2.3,985.8,139,0,12.1,05/26/2015 5:00 PM,OakStreetWeatherStation201505261700
Oak Street Weather Station,05/26/2015 08:00:00 PM,21.5,18.2,73,0,0.2,5.4,0,0,1.7,6,987.2,13,0,12,05/26/2015 8:00 PM,OakStreetWeatherStation201505262000
Oak Street Weather Station,05/26/2015 09:00:00 PM,21.7,17.9,70,0,0,5.4,0,0,0.8,3.7,987.8,0,0,12.1,05/26/2015 9:00 PM,OakStreetWeatherStation201505262100
Oak Street Weather Station,05/26/2015 11:00:00 PM,21.8,17.9,69,0,0,5.4,0,271,0.9,2.7,988.9,0,0,12.1,05/26/2015 11:00 PM,OakStreetWeatherStation201505262300
Oak Street Weather Station,05/27/2015 12:00:00 AM,21.8,18.4,73,0,0,5.4,0,280,2,5.4,988.5,0,0,12.2,05/27/2015 12:00 AM,OakStreetWeatherStation201505272400
Oak Street Weather Station,05/27/2015 01:00:00 AM,21.7,18.1,71,0,0,5.4,0,301,0.8,2.6,988,0,0,12.1,05/27/2015 1:00 AM,OakStreetWeatherStation201505270100
Oak Street Weather Station,05/27/2015 02:00:00 AM,20.8,17.9,76,0,0,5.4,0,329,1.5,2.9,987.9,0,0,12.1,05/27/2015 2:00 AM,OakStreetWeatherStation201505270200
Oak Street Weather Station,05/27/2015 03:00:00 AM,20.3,17.7,78,0,0,5.4,0,279,2.6,6.5,988.4,0,0,12.1,05/27/2015 3:00 AM,OakStreetWeatherStation201505270300
Oak Street Weather Station,05/27/2015 09:00:00 AM,21.6,17.6,67,0,0,5.4,0,269,2.3,4.7,991.5,783,0,12.1,05/27/2015 9:00 AM,OakStreetWeatherStation201505270900
Oak Street Weather Station,05/27/2015 10:00:00 AM,22.5,17.6,62,0,0,5.4,0,290,1.3,3.9,991.6,191,0,12.1,05/27/2015 10:00 AM,OakStreetWeatherStation201505271000
Oak Street Weather Station,05/27/2015 12:00:00 PM,22.8,17.1,57,0,0,5.4,0,251,1.6,5.4,992.5,328,0,12.1,05/27/2015 12:00 PM,OakStreetWeatherStation201505271200
Oak Street Weather Station,05/27/2015 01:00:00 PM,21.9,17.9,68,0,0.2,5.6,0,248,1.3,2.4,992.8,361,0,12.1,05/27/2015 1:00 PM,OakStreetWeatherStation201505271300
Oak Street Weather Station,05/27/2015 03:00:00 PM,23.5,17.0,52,0,0,5.6,0,303,0.9,5.1,993.7,160,0,12.1,05/27/2015 3:00 PM,OakStreetWeatherStation201505271500
Oak Street Weather Station,05/27/2015 05:00:00 PM,22.7,16.8,56,0,0,5.6,0,347,1.4,3.7,994.6,269,0,12.1,05/27/2015 5:00 PM,OakStreetWeatherStation201505271700
Oak Street Weather Station,05/27/2015 06:00:00 PM,19.1,15.8,72,0,0,5.6,0,18,2.6,3.8,995.1,31,0,12.1,05/27/2015 6:00 PM,OakStreetWeatherStation201505271800
Oak Street Weather Station,05/28/2015 11:00:00 AM,21.3,16.0,58,0,0,5.6,0,108,2,4.6,"1,000.9",847,0,12.2,05/28/2015 11:00 AM,OakStreetWeatherStation201505281100
Oak Street Weather Station,05/28/2015 01:00:00 PM,20.9,16.2,62,0,0,5.6,0,98,1.3,2.6,"1,000.1",918,0,11.9,05/28/2015 1:00 PM,OakStreetWeatherStation201505281300
Oak Street Weather Station,05/28/2015 04:00:00 PM,22.2,16.5,56,0,0,5.6,0,55,0.6,1.2,999,553,0,12.1,05/28/2015 4:00 PM,OakStreetWeatherStation201505281600
Oak Street Weather Station,05/28/2015 05:00:00 PM,20.5,15.9,62,0,0,5.6,0,140,0.5,1.1,998.3,79,0,12.1,05/28/2015 5:00 PM,OakStreetWeatherStation201505281700
Oak Street Weather Station,05/28/2015 06:00:00 PM,20.2,15.8,64,0,0,5.6,0,86,0.7,1.4,997.7,60,0,12.1,05/28/2015 6:00 PM,OakStreetWeatherStation201505281800
Oak Street Weather Station,05/28/2015 07:00:00 PM,19.9,15.5,64,0,0,5.6,0,89,0.7,1.2,997.7,41,0,12.1,05/28/2015 7:00 PM,OakStreetWeatherStation201505281900
Oak Street Weather Station,05/28/2015 08:00:00 PM,19.8,15.4,63,0,0,5.6,0,133,0.9,1.9,997.1,12,0,12,05/28/2015 8:00 PM,OakStreetWeatherStation201505282000
Oak Street Weather Station,05/28/2015 09:00:00 PM,19,15.1,67,0,0,5.6,0,119,1.4,4.2,996.7,1,0,12,05/28/2015 9:00 PM,OakStreetWeatherStation201505282100
Oak Street Weather Station,05/28/2015 10:00:00 PM,18.1,14.7,70,0,0,5.6,0,94,1.5,2.5,996.6,1,0,12,05/28/2015 10:00 PM,OakStreetWeatherStation201505282200
Oak Street Weather Station,05/29/2015 12:00:00 AM,20.2,16.0,66,0,0,5.6,0,116,1.4,3.3,995.8,0,0,12.1,05/29/2015 12:00 AM,OakStreetWeatherStation201505292400
Oak Street Weather Station,05/29/2015 01:00:00 AM,21.3,16.7,64,0,0,5.6,0,113,1.1,1.9,995.8,0,0,12.1,05/29/2015 1:00 AM,OakStreetWeatherStation201505290100
Oak Street Weather Station,05/29/2015 02:00:00 AM,22.5,17.6,62,0,0,5.6,0,108,2.2,3.8,995.2,0,0,12.1,05/29/2015 2:00 AM,OakStreetWeatherStation201505290200
Oak Street Weather Station,05/29/2015 03:00:00 AM,23,18.3,64,0,0,5.6,0,125,1.1,2.5,995.5,0,0,12.1,05/29/2015 3:00 AM,OakStreetWeatherStation201505290300
Oak Street Weather Station,05/29/2015 04:00:00 AM,22.8,18.6,67,0,0,5.6,0,101,1.5,3.5,994.9,0,0,12,05/29/2015 4:00 AM,OakStreetWeatherStation201505290400
Oak Street Weather Station,05/29/2015 05:00:00 AM,21.8,18.4,72,0,0,5.6,0,116,2,4.2,994.3,0,0,12.1,05/29/2015 5:00 AM,OakStreetWeatherStation201505290500
Oak Street Weather Station,05/29/2015 06:00:00 AM,20.9,18.2,78,0,0,5.6,0,119,1.5,3.5,994.4,28,0,12,05/29/2015 6:00 AM,OakStreetWeatherStation201505290600
Oak Street Weather Station,05/29/2015 07:00:00 AM,22,18.8,74,0,0,5.6,0,0,0.8,1.9,994.7,167,0,12.1,05/29/2015 7:00 AM,OakStreetWeatherStation201505290700
Oak Street Weather Station,05/29/2015 08:00:00 AM,23.6,19.9,71,0,0,5.6,0,87,1.3,2.7,995.1,397,0,12.2,05/29/2015 8:00 AM,OakStreetWeatherStation201505290800
Oak Street Weather Station,05/29/2015 09:00:00 AM,24,19.9,69,0,0,5.6,0,97,1,2.5,995.1,535,0,12.1,05/29/2015 9:00 AM,OakStreetWeatherStation201505290900
Oak Street Weather Station,05/29/2015 11:00:00 AM,27,21.0,59,0,0,5.6,0,98,0.5,1.1,994.4,416,0,12.2,05/29/2015 11:00 AM,OakStreetWeatherStation201505291100
Oak Street Weather Station,05/29/2015 12:00:00 PM,24.7,20.8,71,0,0.2,5.8,60,339,1.4,3.3,994.5,43,0,12.1,05/29/2015 12:00 PM,OakStreetWeatherStation201505291200
Oak Street Weather Station,05/29/2015 01:00:00 PM,23.9,20.8,77,0,2.2,8,0,104,2.1,4.1,993.5,453,0,12.1,05/29/2015 1:00 PM,OakStreetWeatherStation201505291300
Oak Street Weather Station,05/29/2015 02:00:00 PM,23.6,20.3,75,0,0,8,0,117,2.2,4.2,993,939,0,12.1,05/29/2015 2:00 PM,OakStreetWeatherStation201505291400
Oak Street Weather Station,05/29/2015 03:00:00 PM,23.8,20.6,75,0,0,8,60,119,1.9,3.3,991.5,476,0,12.1,05/29/2015 3:00 PM,OakStreetWeatherStation201505291500
Oak Street Weather Station,05/29/2015 04:00:00 PM,23.6,20.4,75,0,0,8,0,126,1.9,3.6,991,75,0,12.1,05/29/2015 4:00 PM,OakStreetWeatherStation201505291600
Oak Street Weather Station,05/29/2015 05:00:00 PM,27.1,20.9,58,0,0,8,0,116,0.9,2.3,990.6,188,0,12.1,05/29/2015 5:00 PM,OakStreetWeatherStation201505291700
Oak Street Weather Station,05/29/2015 06:00:00 PM,28.1,21.3,55,0,0,8,0,240,1.8,3.1,990.1,30,0,12.2,05/29/2015 6:00 PM,OakStreetWeatherStation201505291800
Oak Street Weather Station,05/29/2015 07:00:00 PM,27.8,21.2,56,0,0,8,0,255,2,5.7,990.6,82,0,12.1,05/29/2015 7:00 PM,OakStreetWeatherStation201505291900
Oak Street Weather Station,05/29/2015 08:00:00 PM,27.1,20.9,58,0,0,8,0,0,0.4,1.9,991,12,0,12.1,05/29/2015 8:00 PM,OakStreetWeatherStation201505292000
Oak Street Weather Station,05/29/2015 09:00:00 PM,25.7,20.9,65,0,0,8,0,54,1.3,2.2,991.1,-2,0,12.1,05/29/2015 9:00 PM,OakStreetWeatherStation201505292100
Oak Street Weather Station,05/29/2015 10:00:00 PM,25.2,20.7,67,0,0,8,0,292,1.2,2.3,991.4,-2,0,12.1,05/29/2015 10:00 PM,OakStreetWeatherStation201505292200
Oak Street Weather Station,05/29/2015 11:00:00 PM,24.6,20.7,70,0,0,8,0,292,1.4,4.4,991.6,0,0,12.1,05/29/2015 11:00 PM,OakStreetWeatherStation201505292300
Oak Street Weather Station,05/30/2015 12:00:00 AM,24.1,20.3,72,0,0,8,0,296,1.4,3.8,991.7,0,0,12.1,05/30/2015 12:00 AM,OakStreetWeatherStation201505302400
Oak Street Weather Station,05/30/2015 01:00:00 AM,23.6,19.7,70,0,0,8,0,253,2.1,5.4,991.4,0,0,12.1,05/30/2015 1:00 AM,OakStreetWeatherStation201505300100
Oak Street Weather Station,05/30/2015 02:00:00 AM,23.1,19.7,74,0,0,8,0,260,1.5,6.3,991.5,0,0,12.1,05/30/2015 2:00 AM,OakStreetWeatherStation201505300200
Oak Street Weather Station,05/30/2015 03:00:00 AM,22.7,19.6,76,0,0,8,0,266,1.7,4.3,991.4,0,0,12.1,05/30/2015 3:00 AM,OakStreetWeatherStation201505300300
Oak Street Weather Station,05/30/2015 04:00:00 AM,22.2,19.6,78,0,0,8,60,297,1.2,3,991.4,0,0,12.1,05/30/2015 4:00 AM,OakStreetWeatherStation201505300400
Oak Street Weather Station,05/30/2015 05:00:00 AM,21.9,19.6,81,0,0.1,8.1,60,283,1.5,5.1,991.7,0,0,12.1,05/30/2015 5:00 AM,OakStreetWeatherStation201505300500
Oak Street Weather Station,05/30/2015 06:00:00 AM,21.8,19.6,82,0,0.2,8.3,60,199,0.8,2.5,992.7,2,0,12.1,05/30/2015 6:00 AM,OakStreetWeatherStation201505300600
Oak Street Weather Station,05/30/2015 07:00:00 AM,21.3,19.7,87,0,0.9,9.2,60,0,0.5,1.3,992.7,86,0,12.1,05/30/2015 7:00 AM,OakStreetWeatherStation201505300700
Oak Street Weather Station,05/30/2015 08:00:00 AM,21.4,19.7,86,2.4,0.3,9.6,60,356,1.3,2.4,992.8,58,0,12.1,05/30/2015 8:00 AM,OakStreetWeatherStation201505300800
Oak Street Weather Station,05/30/2015 09:00:00 AM,21.3,18.8,80,0.6,0.7,10.3,60,344,1.2,2.4,993.4,52,0,12.1,05/30/2015 9:00 AM,OakStreetWeatherStation201505300900
Oak Street Weather Station,05/30/2015 10:00:00 AM,19.7,18.5,89,0.6,0.5,10.8,60,354,0.7,1.1,993.4,68,0,12.1,05/30/2015 10:00 AM,OakStreetWeatherStation201505301000
Oak Street Weather Station,05/30/2015 11:00:00 AM,11.9,11.4,94,0,0.7,11.5,60,4,4.3,6.5,994.9,90,359,12.1,05/30/2015 11:00 AM,OakStreetWeatherStation201505301100
Oak Street Weather Station,05/30/2015 12:00:00 PM,10.9,10.4,94,0,0.3,11.8,0,4,5.5,7.9,995.1,151,359,12.1,05/30/2015 12:00 PM,OakStreetWeatherStation201505301200
Oak Street Weather Station,05/30/2015 01:00:00 PM,10.1,9.6,94,0,0,11.8,0,6,7,12.1,995.5,76,359,12.1,05/30/2015 1:00 PM,OakStreetWeatherStation201505301300
Oak Street Weather Station,05/30/2015 02:00:00 PM,9.7,9.2,93,0,0.1,11.9,60,3,6.7,10.6,995.5,67,359,12.2,05/30/2015 2:00 PM,OakStreetWeatherStation201505301400
Oak Street Weather Station,05/30/2015 03:00:00 PM,9.4,8.9,93,0,1,12.9,60,14,8,10.8,996.1,47,359,12.1,05/30/2015 3:00 PM,OakStreetWeatherStation201505301500
Oak Street Weather Station,05/30/2015 04:00:00 PM,9.2,8.6,93,0.6,1.8,14.6,60,6,8.2,12.1,995.9,51,359,12.1,05/30/2015 4:00 PM,OakStreetWeatherStation201505301600
Oak Street Weather Station,05/30/2015 05:00:00 PM,9.2,8.6,93,0.6,1.8,14.6,60,6,8.2,12.1,995.9,16,359,12.1,05/30/2015 5:00 PM,OakStreetWeatherStation201505301700
Oak Street Weather Station,05/30/2015 06:00:00 PM,8.6,8.2,95,1.8,2.6,2.6,60,12,7.7,12.3,996.5,26,359,12.2,05/30/2015 6:00 PM,OakStreetWeatherStation201505301800
